"","NAICS.id","US_EMP","kings_EMP","kings_e","kings_E","kings_LQ","kings_bi","V8"
"264","8111",877395,172,0.0113001773865055,0.00809651563024686,1.39568400810473,48.7629355920126,NA
"265","8112",124676,59.5,0.00390907299126207,0.00115049798861021,3.39772257749376,41.988270115364,NA
"266","8113",181534,NA,NA,0.00167517807648919,NA,NA,NA
"267","8114",77478,NA,NA,0.000714959440161234,NA,NA,NA
"268","8121",613307,79,0.00519019775310426,0.00565953727983384,0.917071042468095,-7.14381693635083,NA
"269","8122",138013,NA,NA,0.00127357052601993,NA,NA,NA
"270","8123",346067,46,0.00302214046383286,0.00319347258032316,0.946349275849126,-2.60784614509882,NA
"271","8129",240152,NA,NA,0.00221609927300138,NA,NA,NA
"272","8132",165715,NA,NA,0.00152920188474559,NA,NA,NA
"273","8133",130831,NA,NA,0.00120729572931328,NA,NA,NA
"274","8134",256654,NA,NA,0.00236837812224298,NA,NA,NA
"275","8139",327189,NA,NA,0.00301926823442673,NA,NA,NA
